PWSID,ZIPCODE
AL0001789,36318
AL0001789,36322
AL0001789,36323
AL0001789,36330
AL0001789,36331
AL0001789,36346
AL0001789,36351
AL0001789,36453
AL0001789,36467
AL0001789,36477
AL0001796,35772
AR0000004,72335
AR0000004,72336
AR0000004,72359
AR0000013,72160
AR0000015,71635
AR0000015,71646
AR0000015,71658
AR0000017,71635
AR0000025,72635
AR0000025,72653
AR0000027,72626
AR0000027,72635
AR0000027,72642
AR0000027,72651
AR0000027,72653
AR0000033,72653
AR0000036,72653
AR0000037,72711
AR0000037,72712
AR0000037,72732
AR0000037,72751
AR0000037,72756
AR0000039,72712
AR0000039,72714
AR0000039,72715
AR0000039,72736
AR0000039,72739
AR0000039,72751
AR0000039,72768
AR0000041,72712
AR0000041,72714
AR0000041,72756
AR0000041,72758
AR0000043,72712
AR0000043,72718
AR0000043,72745
AR0000043,72758
AR0000043,72762
AR0000044,72712
AR0000044,72714
AR0000044,72715
AR0000044,72719
AR0000044,72722
AR0000044,72736
AR0000044,72739
AR0000048,72722
AR0000048,72734
AR0000048,72761
AR0000051,72722
AR0000051,72736
AR0000051,72747
AR0000051,72768
AR0000052,72722
AR0000052,72734
AR0000053,72712
AR0000053,72751
AR0000053,72756
AR0000054,71631
AR0000054,71671
AR0000055,72712
AR0000055,72718
AR0000055,72745
AR0000055,72756
AR0000055,72758
AR0000056,72734
AR0000056,72761
AR0000062,72601
AR0000066,71671
AR0000074,72626
AR0000075,72632
AR0000077,72611
AR0000077,72638
AR0000078,72631
AR0000085,71743
AR0000085,71923
AR0000090,72430
AR0000090,72454
AR0000096,72422
AR0000101,72013
AR0000101,72031
AR0000101,72032
AR0000101,72039
AR0000101,72044
AR0000101,72047
AR0000101,72058
AR0000101,72061
AR0000101,72067
AR0000101,72088
AR0000101,72111
AR0000101,72131
AR0000101,72153
AR0000104,72543
AR0000107,71603
AR0000107,71655
AR0000107,71665
AR0000107,71667
AR0000107,71671
AR0000107,71675
AR0000109,71736
AR0000109,71770
AR0000119,72001
AR0000119,72013
AR0000119,72027
AR0000119,72030
AR0000119,72031
AR0000119,72039
AR0000119,72063
AR0000119,72107
AR0000119,72110
AR0000119,72125
AR0000119,72127
AR0000119,72156
AR0000119,72157
AR0000119,72823
AR0000124,72401
AR0000124,72404
AR0000124,72411
AR0000124,72416
AR0000124,72417
AR0000124,72421
AR0000124,72437
AR0000124,72450
AR0000124,72467
AR0000124,72479
AR0000138,72921
AR0000138,72932
AR0000138,72934
AR0000138,72946
AR0000138,72948
AR0000138,72952
AR0000138,72955
AR0000138,72956
AR0000142,72904
AR0000142,72956
AR0000144,72921
AR0000144,72956
AR0000145,72921
AR0000145,72946
AR0000145,72947
AR0000145,72952
AR0000152,72327
AR0000152,72364
AR0000156,72301
AR0000156,72327
AR0000156,72364
AR0000156,72376
AR0000163,72396
AR0000164,71742
AR0000170,71654
AR0000170,71670
AR0000171,71639
AR0000180,72324
AR0000180,72404
AR0000180,72411
AR0000180,72432
AR0000180,72472
AR0000180,72479
AR0000184,71655
AR0000184,71656
AR0000184,71675
AR0000185,72007
AR0000185,72012
AR0000185,72045
AR0000185,72102
AR0000185,72111
AR0000185,72136
AR0000185,72137
AR0000185,72143
AR0000189,72032
AR0000189,72106
AR0000189,72107
AR0000191,72032
AR0000191,72058
AR0000192,72039
AR0000192,72058
AR0000192,72061
AR0000192,72131
AR0000193,72032
AR0000193,72106
AR0000193,72113
AR0000195,72032
AR0000195,72045
AR0000195,72047
AR0000195,72058
AR0000195,72076
AR0000195,72111
AR0000195,72120
AR0000195,72173
AR0000196,72032
AR0000196,72039
AR0000196,72058
AR0000196,72181
AR0000201,72949
AR0000208,71901
AR0000208,71909
AR0000208,71949
AR0000208,72015
AR0000208,72087
AR0000209,71901
AR0000209,71913
AR0000209,71933
AR0000209,71956
AR0000209,71964
AR0000209,71968
AR0000209,72104
AR0000213,71602
AR0000213,71603
AR0000213,72057
AR0000213,72150
AR0000214,72015
AR0000214,72079
AR0000214,72150
AR0000219,72057
AR0000219,72129
AR0000219,72150
AR0000222,72450
AR0000230,71801
AR0000230,71838
AR0000232,71862
AR0000236,71923
AR0000236,71929
AR0000236,71941
AR0000236,72104
AR0000237,72104
AR0000244,71852
AR0000250,72501
AR0000254,72020
AR0000254,72501
AR0000254,72523
AR0000254,72527
AR0000254,72534
AR0000254,72550
AR0000254,72568
AR0000254,72571
AR0000256,72517
AR0000256,72556
AR0000256,72561
AR0000256,72565
AR0000256,72573
AR0000256,72577
AR0000256,72584
AR0000264,72043
AR0000264,72075
AR0000264,72112
AR0000266,72473
AR0000272,71601
AR0000272,71602
AR0000272,71603
AR0000273,71602
AR0000273,72150
AR0000284,71602
AR0000284,71603
AR0000286,72830
AR0000286,72840
AR0000289,72830
AR0000289,72846
AR0000309,72433
AR0000309,72476
AR0000310,72360
AR0000313,72021
AR0000313,72311
AR0000313,72320
AR0000313,72335
AR0000313,72341
AR0000313,72355
AR0000313,72360
AR0000313,72366
AR0000313,72368
AR0000313,72372
AR0000315,71643
AR0000315,71644
AR0000319,71603
AR0000319,71639
AR0000319,71643
AR0000319,71644
AR0000319,71655
AR0000319,71667
AR0000319,71675
AR0000320,71822
AR0000326,72927
AR0000326,72936
AR0000328,72855
AR0000338,72023
AR0000338,72207
AR0000343,72086
AR0000345,72007
AR0000345,72023
AR0000345,72086
AR0000345,72176
AR0000349,72703
AR0000349,72716
AR0000349,72721
AR0000349,72727
AR0000349,72738
AR0000349,72740
AR0000349,72742
AR0000349,72752
AR0000349,72756
AR0000349,72764
AR0000349,72773
AR0000349,72776
AR0000351,72634
AR0000351,72687
AR0000360,71822
AR0000360,71837
AR0000360,71853
AR0000360,71854
AR0000365,72315
AR0000378,72442
AR0000384,72021
AR0000384,72029
AR0000394,71743
AR0000394,71835
AR0000394,71857
AR0000404,71701
AR0000404,71726
AR0000415,72342
AR0000415,72355
AR0000415,72366
AR0000415,72374
AR0000415,72390
AR0000416,72342
AR0000416,72355
AR0000416,72390
